侇	⿰亻夷	イ	u
侕	⿰亻而	ジ ニ	u
侜	⿰亻舟	チュウ チュ	u
侢	⿰亻再	サイ サ	p:再
侣	⿰亻吕	リョ ロ とも	v:侶
侤	⿰亻考	はたらく	u
侥	⿰亻尧	ギョウ キョウ	v:僥
侦	⿰亻贞	テイ	v:偵
侧	⿰亻则	ソク かわ がわ そば	v:側
侨	⿰亻乔	キョウ	v:僑
侩	⿰亻会	カイ ケ なかがい	v:儈
侪	⿰亻齐	セイ サイ ともがら	v:儕
侬	⿰亻农	ドウ ノウ わし かれ	v:儂
侰	⿰亻君	キン	u
侱	⿰亻呈	テイ チョウ	u
侳	⿰亻坐	サ	u
侴	⿱⿵𠆢一⿰丑刂	チュウ	u
侸	⿰亻豆	シュ ジュ トウ ツ	u
侺	⿰亻岑	シン ジン	u
俇	⿰亻狂	キョウ コウ ゴウ	u
俓	⿰亻巠	ゴウ ギョウ ゲン ケイ	u
俕	⿰亻宋	サン	u
俖	⿰亻否	ヒ	p:否
俙	⿰亻希	キ ケ カイ	u
俞	⿱⿵𠆢一⿰⺝刂	ユ チュウ ツ シュ	u
俧	⿰亻志	シ シリング	p:志
俨	⿰亻严	ゲン いかめ.しい おごそか	v:儼
俩	⿰亻两	リョウ たくみ	v:倆
俪	⿰亻丽	レイ つれあい ならぶ	v:儷
俫	⿰亻来	ライ	v:倈
俬	⿰亻私	シ	p:私
俭	⿰亻佥	ケン つま.しい つづまやか	v:儉
俴	⿰亻戔	セン ゼン	u
俷	⿰亻肥	ヒ	u
俹	⿰亻亞	ア	u
俻	⿰亻备	ビ そなえる	u
倃	⿰亻咎	キュウ グ	u
倈	⿰亻來	ライ	u
倕	⿰亻垂	スイ ツイ ズイ	u
倠	⿰亻隹	キ	u
倯	⿰亻松	ショウ シュ	u
倱	⿰亻昆	コン ゴン	u
倴	⿰亻奔	ホン	u
倷	⿰亻奈	ダイ ナイ	u
倸	⿰亻采	サイ	u
债	⿰亻责	サイ	v:債
值	⿰亻直	チ ね あたい	v:値
倽	⿰亻舍	セキ シャ	p:舍
倾	⿰亻顷	ケイ かたむ.く かたむ.ける かたぶ.く	v:傾
倿	⿰亻妾	ショウ	p:妾
偄	⿰亻耎	ゼン ダン ナン ダ	u
偋	⿰亻屏	ヘイ	u
偍	⿰亻是	テイ ダイ	u
偔	⿰亻咢	ガク	p:咢
偘	⿰亻品	カン	u
偛	⿰亻臿	ソウ	u
偝	⿰亻背	ハイ バイ	u
偞	⿰亻枼	ヨウ キョウ チョウ	u
偡	⿰亻甚	タン ダ	u
偤	⿰亻酋	ユウ ユ	u
偨	⿰亻柴	シ	u
偩	⿰亻負	フウ ブ	u
偫	⿰亻待	ジ チ	u
偮	⿰亻咠	シュウ	u
偯	⿰亻哀	イ	u
偳	⿰亻耑	タン	u
偷	⿰亻俞	チュウ トウ ぬすむ	u
偹	⿲亻丨备	ビ そなえる	u
偺	⿰亻昝	サン	u
偻	⿰亻娄	ロウ かがむ	u
偼	⿰亻⿳⺊𫜹龰	ショウ	u
偾	⿰亻贲	フン ホン たお.れる お.ちる	v:僨
偿	⿰亻尝	ショウ つぐな.う	v:償
傂	⿰亻虒	シ ジ チ	u
傇	⿰亻茸	ジョウ ニュ	u
傉	⿰亻⿸辰寸	ジョク ノク	u
傋	⿰亻冓	ク コウ	u
傌	⿰亻馬	バ メ	u
傗	⿰亻畜	チク	u
傝	⿰亻𦐇	タン トン トウ タフ	u
傤	⿰亻载	サイ	p:载
傥	⿰亻党	トウ あるいは	u
傦	⿰亻骨	コツ	p:骨
傧	⿰亻宾	ヒン すす.める うやま.う あいさつ	v:儐
储	⿰亻诸	チョ もう.ける もう.かる もうけ	v:儲
傩	⿰亻难	ナ ダ おにやらい	v:儺
傫	⿰亻累	ライ ルイ	u
傮	⿰亻曹	ゾウ シュウ ソウ ジュ	u
傶	⿰亻戚	ソク セキ シャク	u
