𢴤	⿰扌棠	トウ	u
𢴥	⿰扌惠	ケイ	u
𢴦	⿰扌項	コウ	u
𢴧	⿰扌貳	チ ヂ ジ ニ	u
𢴨	⿰扌啻	チ シ テキ	u
𢴩	⿰扌筆	ヒツ ヒチ	u
𢴪	⿰扌款	カン	u
𢴫	⿰扌⿳巛𠔿𠂡	リョウ	u
𢴬	⿰扌斑	バン ヘン	u
𢴭	⿱絶手	ゼツ	u
𢴮	⿰扌虚	キョ コ	u
𢴯	⿰扌⿳艹⿱土䒑口	コウ ク	p:口
𢴰	⿰扌幾	キ ケ	u
𢴱	⿰扌絫	ルイ ラ	u
𢴲	⿰扌絜	ケツ ゲチ	u
𢴳	⿱湯手	トウ	u
𢴴	⿰扌⿱⿰歺刂衣	レツ	u
𢴵	⿰扌焱	エン	u
𢴶	⿰扌⿳亠？𧘇	ジョウ	u
𢴷	⿱𡙕手	シ	u
𢴸	⿱𡎐手	ゲツ	u
𢴹	⿰扌𡍮	スイ	u
𢴺	⿱厥手	ケツ	u
𢴻	⿰扌㪔	サツ	u
𢴼	⿰扌⿱臽夊	シュウ シュ	u
𢴽	⿰手堯	ハイ	u
𢴾	⿰扌悲	ハイ ベ	u
𢴿	⿰扌朝	チョウ	u
𢵀	⿰扌筍	シュン	u
𢵁	⿰抈匊	ヒョウ	u
𢵂	⿰扌⿱𠆢⿺廴⿳⺊𫜹⺊	ボク	p:卜
𢵃	⿰扌⿱昍心	ソウ	u
𢵄	⿰扌㫺	ソ	u
𢵅	⿰扌䂓	キ	p:䂓
𢵆	⿰扌雲	ウン	p:雲
𢵇	⿰扌⿳卝土永	エイ	p:永
𢵈	⿰扌善	セン ゼン ケン	u
𢵉	⿰扌貶	ヘン	p:貶
𢵊	⿰扌䄈	トウ ズ	p:䄈
𢵋	⿰扌都	ト ツ	p:都
𢵌	⿰扌隊	タイ	p:隊
𢵍	⿰扌𭪴	ゲチ ケツ	p:𭪴
𢵎	⿰扌⿳艹于永	ヨウ	u
𢵏	⿰扌⿱止𦨉	セン	u
𢵐	⿰掮犬	ケン	p:犬
𢵑	⿰扌联	レン	p:联
𢵒	⿰扌超	チョウ	p:超
𢵓	⿰扌彭	ホウ	p:彭
𢵔	⿰扌孱	セン サン	p:孱
𢵕	⿰扌⿰𠦝牛	ギュウ	p:牛
𢵖	⿰扌⿳艹口包	ホウ	p:包
𢵗	⿰扌菊	きく	u
𢵘	⿰扌萄	ドウ トウ	p:萄
𢵙	⿰扌⿱艹𣏰	ソウ	p:艹
𢵚	⿰扌貼	テン チョウ	p:貼
𢵛	⿰扌菜	サイ	p:菜
𢵜	⿰扌犇	ホン	p:犇
𢵝	⿰扌猫	ビョウ	p:猫
𢵞	⿰扌扉	ヒ	p:扉
𢵟	⿰扌⿱央貝	バイ	p:貝
𢵠	⿱解手	カイ ゲ	p:解
𢵡	⿱欽手	キン コン	p:欽
𢵢	⿰扌閔	ビン ミン	p:閔
𢵣	⿰扌惡	アク オ	p:惡
𢵤	⿱猒手	エン オウ	p:猒
𢵥	⿱稍手	ソウ ショウ	p:稍
𢵦	⿰扌短	タン	p:短
𢵧	⿰扌間	カン ゲン ケン	u
𢵨	⿱報手	ホウ	p:報
𢵩	⿰手隊	タイ	p:隊
𢵪	⿰扌斐	ヒ イ	p:斐
𢵫	⿰扌奠	テン デン	p:奠
𢵬	⿰手巽	ソン	p:巽
𢵭	⿰扌萊	ライ リ	p:萊
𢵮	⿰扌矞	イツ イチ	p:矞
𢵯	⿰扌買	バイ	p:買
𢵰	⿰扌給	キュウ	p:給
𢵱	⿰扌開	カイ	p:開
𢵲	⿰扌喭	ゲン ガン	p:喭
𢵳	⿰扌森	シン	p:森
𢵴	⿰扌㱕	キ	p:㱕
𢵵	⿰扌菓	カ	p:菓
𢵶	⿰扌鈍	ドン	p:鈍
𢵷	⿰扌割	カツ	p:割
𢵸	⿰扌集	シュウ	p:集
𢵹	⿰扌痗	バイ マイ	p:痗
𢵺	⿰扌湛	タン チン	p:湛
𢵻	⿰扌渚	ショ	p:渚
𢵼	⿰扌越	エツ オツ	p:越
𢵽	⿰扌疎	ソ ショ	p:疎
𢵾	⿰扌⿱爫咅	トウ	p:咅
𢵿	⿱𭤁手	キョウ	u
𢶀	⿰扌罪	サイ ゼ セ	u
𢶁	⿰扌⿳覀日⿻十㇒	タン	u
𢶂	⿰扌運	ウツ	u
𢶃	⿰扌煩	ハン ボン	u
𢶄	⿰扶頁	ケツ	p:頁
𢶅	⿰扌筮	セツ ゼチ	u
𢶆	⿰扌歇	ケツ	u
𢶇	⿰扌煢	ケイ	p:煢
𢶈	⿰扌𠷎	トウ	u
𢶉	⿰扌雹	ハク ヒャク	u
𢶊	⿰扌⿱𡨄巳	ケン	u
𢶋	⿰扌𢧜	テツ テチ	u
𢶌	⿰扌𬕍	サ シャ	u
𢶍	⿰扌䪞	ソウ	u
𢶎	⿰扌鈲	カ	u
𢶏	⿰扌剽	ヒョウ	u
𢶐	⿰扌䖒	キ	u
𢶑	⿰扌裊	ジョウ	u
𢶒	⿰扌會	カイ ケ	u
𢶓	⿰扌辠	サイ セ	u
𢶔	⿰扌㬅	バン	u
𢶕	⿰扌煎	セン	u
𢶖	⿰扌歈	ユ ユウ	u
𢶗	⿱𢾕手	ゴウ	u
𢶘	⿰扌⿱一進	カイ	u
𢶙	⿰扌毁	キ	u
𢶚	⿰扌馵	ヒョウ	u
𢶛	⿰扌⿱孫廾	ソン	u
𢶜	⿱雍手	ヨウ	u
𢶝	⿰扌⿱⿱𦘒一足	ショウ	u
𢶞	⿰扌煞	サツ サイ	p:煞
𢶟	⿰手嵬	カイ ギ	p:嵬
𢶠	⿰扌筲	ソウ ショウ	p:筲
𢶡	⿱敫手	キョウ うつ	u
𢶢	⿰扌⿱血⿻𧰨丶	チュ	p:丶
𢶣	⿰扌叠	ジョウ チョウ	p:叠
𢶤	⿰扌靴	カ	p:靴
𢶥	⿰扌準	ジュン	p:準
𢶦	⿰扌⿱夂貢	タン トン	u
𢶧	⿰扌亷	レン	p:亷
𢶨	⿰扌𤋎		
𢶩	⿲扌春戈	カ	p:戈
𢶪	⿰扌載	サイ	p:載
𢶫	⿰扌聖	セイ ショウ	p:聖
𢶬	⿰扌⿳艹？⿻三丨	コン シ	p:丨
𢶭	⿰扌⿳艹日包	ホウ	p:包
𢶮	⿰扌⿱山馬	バ	p:馬
𢶯	⿰扌萬	マン バン	p:萬
𢶰	⿰扌葱	ソウ	p:葱
𢶱	⿰扌⿱敀木	ボク モク	p:木
𢶲	⿰扌愁	シュウ	p:愁
𢶳	⿰扌⿱云枼	ヨウ	p:枼
𢶴	⿰扌慈	ジ	u
𢶵	⿰扌𡲬	クツ	u
𢶶	⿰扌意	イ	p:意
𢶷	⿰扌解	カイ ゲ	p:解
𢶸	⿰扌稟	リン ヒン	p:稟
𢶹	⿰扌暗	アン	p:暗
𢶺	⿰扌窞	タン ドン	p:窞
𢶻	⿰扌葻	ラン フウ	p:葻
𢶼	⿰扌嵬	カイ ギ	p:嵬
𢶽	⿰扌䧟	カン ゲン	p:䧟
𢶾	⿰扌雉	ジ チ	p:雉
𢶿	⿰扌遁	トン シュン	p:遁
𢷀	⿰扌愈	ユ	p:愈
𢷁	⿰扌腩	ナン タン	p:腩
𢷂	⿰扌粲	サン	p:粲
𢷃	⿰扌閙	ドウ トウ	p:閙
𢷄	⿰扌滅	メツ	p:滅
𢷅	⿰扌路	ロ ル	p:路
𢷆	⿰⿱㇒⿻二丿亶	タン セン	p:亶
𢷇	⿰扌⿱⿻土𠈌八	ソウ	u
𢷈	⿰扌窟	クツ コツ コチ	u
𢷉	⿰扌⿱立㲎	ル	p:㲎
𢷊	⿰扌遂	スイ	p:遂
𢷋	⿰扌𡬽	ヒョウ	u
𢷌	⿰扌槖	タク	u
𢷍	⿰扌㥯	イン オン	u
𢷎	⿰扌𦱧	ハイ	u
𢷏	⿰扌僕	ホク ハク	u
𢷐	⿰扌𤴡	チ	u
𢷑	⿰扌㬎	ケン	u
𢷒	⿰扌竭	ケツ ゴチ ゲチ	u
𢷓	⿰扌赫	カク	u
𢷔	⿰扌旖	イ	u
𢷕	⿰扌貌	バク マク	u
𢷖	⿰扌㡭	タン	u
𢷗	⿰扌聚	シュウ ジュ	u
𢷘	⿰扌搴	ケン	u
𢷙	⿰扌箜	コウ	u
𢷚	⿰撜刂	リュウ	u
𢷛	⿰扌𩂫	キョ	u
𢷜	⿰扌𬃷	ショウ	u
𢷝	⿰扌⿱𰢱心	ソウ	u
𢷞	⿰扌蓋	ガイ カイ	p:蓋
𢷟	⿰扌疐	チ シ	p:疐
𢷠	⿰扌熏	クン	p:熏
𢷢	⿰扌鄣	ショウ	u
𢷣	⿰扌與	ヨ	p:與
𢷤	⿰扌賔	ヒン しりぞける	u
𢷥	⿰扌⿱米⿻廿夫	フン	u
𢷦	⿰扌䡛	エキ ヤク	p:䡛
𢷧	⿰扌頗	ハ	p:頗
𢷨	⿰扌搻	ダク	p:搻
𢷩	⿰扌筵	エン	p:筵
𢷪	⿰扌魁	カイ	p:魁
𢷫	⿰扌遙	ヨウ	p:遙
𢷬	⿰扌夀	ジュ	p:夀
𢷭	⿰扌⿱馬𧘇	ジョウ	u
𢷮	⿰扌對	タイ ツイ	p:對
𢷯	⿰扌⿱區大	ダイ タイ	p:大
𢷰	⿰扌輕	ケイ	p:輕
𢷱	⿰扌廔	ロウ ル	p:廔
𢷲	⿰扌𦥷	キョウ コウ	p:𦥷
𢷳	⿰扌夐	ケイ ケン	p:夐
𢷴	⿰扌匱	キ	p:匱
𢷵	⿰扌舞	ブ	p:舞
𢷶	⿰扌劉	リュウ ル	u
𢷷	⿰扌箸	チャク	u
𢷸	⿰扌徵	チ	u
𢷹	⿰扌廛	テン デン	u
𢷺	⿰扌賣	トク ドク	u
𢷻	⿰扌緣	エン	u
𢷼	⿰扌𢀩	サ	u
𢷽	⿰扌槩	カイ	u
𢷾	⿰扌慼	サク	u
𢷿	⿰扌𢧵	シツ シチ	u
𢸀	⿰扌隷	レイ ライ	u
𢸁	⿱興手	キョウ	u
𢸂	⿰扌𤌑	ヒョウ	u
𢸃	⿰扌瞏	カン	u
𢸄	⿰扌翦	セン	u
𢸅	⿰扌樊	ハン	u
𢸆	⿰扌摹	サツ	u
𢸇	⿱罷手	ハイ	u
𢸈	⿰摘欠	テキ	u
𢸉	⿰扌⿸虍⿱昍一	サ	u
𢸊	⿰扌⿸厂𮖄	カン	p:厂
𢸋	⿰扌趟	トウ チョウ	p:趟
𢸌	⿰扌⿱⿰⿱㇒⿻二丿阝帛	ハク	p:帛
𢸍	⿰扌震	シン	p:震
𢸎	⿰扌寬	カン	p:寬
𢸏	⿰扌⿱龹軍	グン	p:軍
𢸐	⿰扌⿸戶鳥	チョウ	p:鳥
𢸑	⿰扌敵	テキ	p:敵
𢸒	⿰扌賢	ケン	p:賢
𢸓	⿰扌暮	ボ	p:暮
𢸔	⿰扌盤	バン	p:盤
𢸕	⿰扌⿳𥫗？⿻三丨	コン シ	p:丨
𢸖	⿰扌⿱瓜㼌	ユ	p:㼌
𢸗	⿰扌虢	ホウ カク	p:虢
𢸘	⿰扌寮	リョウ	p:寮
𢸙	⿰扌審	シン	p:審
𢸚	⿰扌蓬	ホウ ブ	p:蓬
𢸛	⿰扌調	チョウ	p:調
𢸜	⿰扌鄰	リン	p:鄰
𢸝	⿰扌潜	セン	p:潜
𢸞	⿰扌鄧	トウ	p:鄧
𢸟	⿰扌儉	ケン	p:儉
𢸠	⿰扌課	カ	p:課
𢸡	⿰扌齒	シ	p:齒
𢸢	⿰扌篆	テン	p:篆
𢸣	⿰扌褭	ジョウ ニョウ	u
𢸤	⿰扌羲	キ	u
𢸥	⿰扌篡	サン	u
𢸦	⿰扌遺	イ	u
𢸧	⿱燅手	セン ゼン	u
𢸨	⿰扌橐	タク	u
𢸩	⿰扌臻	シン	u
𢸪	⿰扌𧎮	ソウ	u
𢸫	⿰扌穌	ソ	u
𢸬	⿰扌褱	カイ	u
𢸭	⿱龍手	ロウ ル	u
𢸮	⿰扌橆	ブ	u
𢸯	⿰扌⿳⿴𦥑囟一八	セン	u
𢸰	⿰扌㬜	シン	u
𢸱	⿰扌燅	セン	u
𢸲	⿰扌⿱雨昍	ケン カン	p:昍
𢸳	⿰扌蕭	ショウ	u
𢸴	⿰扌閻	エン	u
𢸵	⿰扌壁	ヘキ	p:壁
𢸶	⿰扌⿸最双	ソウ	p:双
𢸷	⿰扌選	セン	p:選
𢸸	⿰扌頭	トウ ズ	p:頭
𢸹	⿰扌⿱百⿱宀条	ジョウ チョウ	p:条
𢸺	⿰扌蕉	ショウ	p:蕉
𢸻	⿰扌⿱业最	サイ シュ	p:最
𢸼	⿰扌錦	キン	p:錦
𢸽	⿰扌⿳𥫗？⿻三丨	コン シ	p:丨
𢸾	⿰扌興	コウ キョウ	p:興
𢸿	⿰扌篚	ヒ	p:篚
𢹀	⿰扌⿱禾欶	サク シュク	p:欶
𢹁	⿱錿手		
𢹂	⿰扌嶲	ケイ エ	p:嶲
𢹃	⿰扌穎	エイ	p:穎
𢹄	⿰扌⿳芔八𫢉	ハチ ハツ	p:八
𢹅	⿰扌濁	ダク ジョク	p:濁
𢹆	⿰扌諧	カイ	p:諧
𢹇	⿰扌黙	モク ボク	p:黙
𢹈	⿰扌篭	ロウ ル	p:篭
𢹉	⿰扌頺	タイ	p:頺
𢹊	⿰扌熾	シ	p:熾
𢹋	⿰扌⿱般血	ケツ	p:血
𢹌	⿰扌遲	チ	p:遲
𢹍	⿰扌戲	キ	u
𢹎	⿰扌⿳𦣻⿲止⿰丨丨巳夊	ジョウ	u
𢹏	⿱輿手	ヨ	u
𢹐	⿰扌檗	ハク	u
𢹑	⿰扌䆸	トウ チョウ	u
𢹒	⿰扌燮	ショウ	u
𢹓	⿰扌齋	サ	u
𢹔	⿰扌糞	フン	u
𢹕	⿰扌⿱艹𠍘	ケン	u
𢹖	⿰扌馘	コウ キャク	u
𢹗	⿰扌⿺辶⿰𦍒攵	タツ	u
𢹘	⿰扌擎	ケイ キョウ	u
𢹙	⿰扌⿱炎面	ラン	u
𢹚	⿰扌䯹	セン	u
𢹛	⿰扌鮮	セン	p:鮮
𢹜	⿰扌薾	シ ニ	p:薾
𢹝	⿰扌霝	レイ リョウ	p:霝
𢹞	⿰扌𢩠	サン	p:𢩠
𢹟	⿲扌⿱上⿴⿰⿱丶㇀⿱㇒丶亅頁	ケツ	p:頁
𢹠	⿰扌⿸厤业	ホク	p:业
𢹡	⿰扌蹈	トウ	p:蹈
𢹢	⿰扌⿱𥫗異	イ	p:異
𢹣	⿰扌矯	キョウ	p:矯
𢹤	⿰扌趨	スウ ソク	p:趨
𢹥	⿰扌壓	アツ エン	p:壓
𢹦	⿰扌歛	レン	p:歛
𢹧	⿰扌醜	シュウ	p:醜
𢹨	⿰扌縿	サン セン	p:縿
𢹩	⿰扌霜	ソウ	p:霜
𢹪	⿰扌糝	サン シン	p:糝
𢹫	⿰挈密	ミツ	p:密
𢹬	⿰扌雝	ヨウ いだく	u
𢹭	⿱雝手	ヨウ	u
𢹮	⿰扌壘	ルイ	u
𢹯	⿰扌㬥	ハク	u
𢹰	⿰扌𤐫	ヒョウ	u
𢹱	⿰扌簫	ショウ	u
𢹲	⿰扌麏	クン	u
𢹳	⿰扌𰥇	コウ ギョウ	u
𢹴	⿰扌𢇕	タン	u
𢹵	⿰扌薩	サツ	u
𢹶	⿰扌闗	カン	p:闗
𢹷	⿰扌額	ガク	p:額
𢹸	⿰扌叢	ソウ ス	p:叢
𢹹	⿰扌藍	ラン	p:藍
𢹺	⿰扌簞	タン	p:簞
𢹻	⿰扌𩔇	ロウ	p:𩔇
𢹼	⿰扌雜	ザツ ゾウ	p:雜
𢹽	⿰扌簪	シン サン	p:簪
𢹾	⿰扌歸	キ	p:歸
𢹿	⿰扌禮	レイ ライ	p:禮
𢺀	⿰扌謨	ボ モ	p:謨
𢺁	⿰扌覆	フク	p:覆
𢺂	⿰扌⿸虍達	タツ	u
𢺃	⿰扌繭	ケン	u
𢺄	⿰扌關	カン コン	u
𢺅	⿰扌簽	ショウ	u
𢺆	⿰扌䇔	ラ	u
𢺇	⿰扌藥	ヤク	p:藥
𢺈	⿰扌䜌	ラン	u
𢺉	⿰扌蠆	タツ タチ	u
𢺊	⿰扌⿱艹𤕨	ジョウ	u
𢺋	⿱難手	タン	u
𢺌	⿰扌⿱大𣚨	ブ	u
𢺍	⿰扌𧀨	リョウ	p:𧀨
𢺎	⿰扌臘	ロウ	p:臘
𢺏	⿰扌攀	ハン	p:攀
𢺐	⿰扌藝	ゲイ ウン	p:藝
𢺑	⿰扌羸	ラ	u
𢺒	⿰扌𩸮		
𢺓	⿰扌霪	イン	p:霪
𢺔	⿰扌寳	ホウ	p:寳
𢺕	⿰扌夒	ジョウ ニョウ ドウ ノウ	u
𢺖	⿰扌⿱旦𱔞	ジョウ	u
𢺗	⿰扌㒹	テン	p:㒹
𢺘	⿰扌嚴	ゲン ゴン	p:嚴
𢺙	⿰扌籃	ラン	p:籃
𢺚	⿰扌鐘	ショウ	p:鐘
𢺛	⿰扌闡	セン	p:闡
𢺜	⿰扌籊	テキ チャク	p:籊
𢺝	⿰扌蘊	ウン	p:蘊
𢺞	⿰扌霸	ハ	u
𢺟	⿰扌羼	サン セン	u
𢺠	⿰扌廱	ヨウ	u
𢺡	⿰扌屬	ショク ゾク	u
𢺢	⿰扌纍	ライ	u
𢺣	⿰扌⿱𥫗𤕨	ジ	p:𤕨
𢺤	⿰扌蘭	ラン ラ	p:蘭
𢺥	⿰扌𠮓	ヘン ベン	p:𠮓
𢺦	⿰扌⿱宀⿲⿱䶹䶹⿱𠂊仌⿱屮屮	ケン	u
𢺧	⿰扌⿳亡罒⿲⺼羊⿻⿻㇈丿丶	チュ	p:丶
𢺨	⿰扌蠢	シュン	p:蠢
𢺩	⿰扌轟	ゴウ コウ	p:轟
𢺪	⿰扌⿱辰⿰辰辰	シン ジン	p:辰
𢺫	⿰扌⿱⿰⿱日⺝永定	チョウ	u
𢺬	⿰扌⿱鹵⿱⿶凵⿱龱口丨	タン	u
𢺭	⿰扌聽	チョウ	p:聽
𢺮	⿰扌⿱𥫗覧	ラン	p:覧
𢺯	⿰扌彎	ワン	p:彎
𢺰	⿰扌靈	レイ リョウ	u
𢺱	⿰扌⿱䀠⿳冖林灬	サン	u
𢺲	⿰扌⿱䜌史	シ	p:史
𢺳	⿰扌蠻	バン	p:蠻
𢺴	⿰扌鬱	ウツ ウチ	u
𢺵	⿰匕支	キ	u
𢺶	⿱支巾	シ	u
𢺷	⿰巿支	キ	u
𢺸	⿰支支		
𢺹	⿰分支	ブン フン	p:分
𢺺	⿰支分	ブン フン	p:分
𢺻	⿰夫支	フ フウ	p:夫
𢺼	⿰斤支	キ	u
𢺽	⿰爻支	コウ ギョウ	p:爻
𢺾	⿰氐支	テイ タイ	p:氐
𢺿	⿰世支	シ	u
𢻀	⿰？支	フ	u
𢻁	⿳⺈⿵冂八支	ハチ ハツ	p:八
𢻂	⿰缶支	キ	u
𢻃	⿰尗支	シ ジ	u
𢻄	⿰⿸户儿支	コ	u
𢻅	⿰曲支	テン	u
𢻆	⿰合支	ゴウ ガッ	p:合
𢻇	⿰名支	コウ	u
𢻈	⿺支多	シ	u
𢻉	⿰亥支	カイ	u
𢻊	⿰吾支	ゴ	p:吾
𢻋	⿺支吕	キ	u
𢻌	⿰邑支	シ	u
𢻍	⿰⿳又𫜹又支	キョウ	u
𢻎	⿰⿱龷⺝支	ゲツ ガツ	p:月
𢻏	⿰幸支	キ	u
𢻐	⿺羌支	キョウ	p:羌
𢻑	⿰炎支	エン	p:炎
𢻒	⿰尚支	ショウ	p:尚
𢻓	⿰享支	トウ	u
𢻔	⿰果支	カイ ケ	u
𢻕	⿰音支	オン イン	p:音
𢻖	⿺是支	ゼ シ	p:是
𢻗	⿰臿支	キ	u
𢻘	⿰⿸广圭支	ショク	u
𢻙	⿰枲支	チ	u
𢻚	⿰桑支	キ ギ	u
𢻛	⿱𠧸支	ロ	u
𢻜	⿰害支	カイ	u
𢻝	⿱埶支	ヘン	u
𢻞	⿰⿱白𡉊支	サン	u
𢻟	⿰𡨼支	キョウ	u
𢻠	⿰雇支	リ	u
𢻡	⿰⿱罒呈支	テイ	p:呈
𢻢	⿰尞支	リョウ	p:尞
𢻣	⿰⿳日工⿱口十支	ジュウ ジッ	p:十
𢻤	⿰喬支	キョウ	u
𢻥	⿰喿支	ソウ ショウ	p:喿
𢻦	⿰⿱林⿵冂夕支	サン	u
𢻧	⿰蜀支	トク	u
𢻨	⿰䪞支	ソウ ゾウ	p:䪞
𢻩	⿰⿱白垂支	シ	u
𢻪	⿰器支	キ	u
𢻫	⿰也攴	シ	u
𢻬	⿰亡攵	フ ブ ム	u
𢻭	⿰勺攴	ハク	u
𢻮	⿰卪攵	セツ セチ	u
𢻯	⿱攵子	ガク	u
𢻰	⿰巳攴	シ	p:巳
𢻱	⿰也攵	ホク	p:攵
𢻲	⿰亾攴	フ	u
𢻳	⿰夫攴	フ	u
𢻴	⿰屯攴	トン	u
𢻵	⿰巿攴	ハイ	u
𢻶	⿱今攴	ヘン	u
𢻷	⿰巴攴	ハ	u
𢻸	⿰匀攴	キン	u
𢻹	⿰比攵	ヒ	u
𢻺	⿲亻亻攵	ホク	p:攵
𢻻	⿰户攴	ケイ	u
𢻼	⿰冘攴	タン トン	u
𢻽	⿰𢆰攴	テイ	u
𢻾	⿰𣎳攵	サン	u
𢻿	⿰攴月	トウ	u
𢼀	⿰冗攴	キ	u
𢼁	⿺⿱上乙攵	コツ	u
𢼂	⿰爻攵	ホク	p:攵
𢼃	⿰勾攵	コウ	u
𢼄	⿰户攵	キュウ	u
𢼅	⿰㕛攵	キョウ	u
𢼆	⿰巿攵	ホク	p:攵
𢼇	⿰勻攵	ホク	p:攵
𢼈	⿰冘攵	ホク	p:攵
𢼉	⿰台攵	シ	u
𢼊	⿰它攵	シ	u
𢼋	⿰𪩲攵	セイ	u
𢼌	⿰包攴	ホウ ボウ	u
𢼍	⿰出攴	セツ	u
𢼎	⿰乍攴	サク	u
𢼏	⿰㐌攵	イ	u
𢼐	⿰𠕵攴	カ	u
𢼑	⿰巨攵	コウ	u
𢼒	⿰句攴	ク	p:句
𢼓	⿰甲攵	ホク	p:攵
𢼔	⿰可攵	ホク	p:攵
𢼕	⿰氐攵	ホク	p:攵
𢼖	⿰？攴	ビン	u
𢼗	⿰示攴	ジ シ	p:示
𢼘	⿰艼攵	シ	u
𢼙	⿺兄攵	ロウ	u
𢼚	⿰戹攵	ホク	p:攵
𢼛	⿰各攴	カク キャク ラク	u
𢼜	⿰亦攵	シャ	u
𢼝	⿰羊攴	ヨウ	u
𢼞	⿰𡰯攴	サツ	u
𢼟	⿰𡉚攴	オウ	u
𢼠	⿺⿱八𠃔攵	タツ	u
𢼡	⿰𦓤攵	サツ	u
𢼢	⿰杀攴	サツ	u
𢼣	⿰吉攴	カツ カチ	u
𢼤	⿰舌攴	カツ ゲチ キ	u
𢼥	⿲犭犭攵	ヒツ	u
𢼦	⿰共攴	コウ ク	u
𢼧	⿰臣攴	シン	u
𢼨	⿰危攴	キ	u
𢼩	⿰并攴	ホウ ヒョウ	u
𢼪	⿰⿱𰀄子攵	トン	u
𢼫	⿰⿳㐅㐅㐅攵	ホク	p:攵
𢼬	⿰⿳㐅㐅㐅攴	コウ キョウ	u
𢼭	⿰共攵	ホク	p:攵
𢼮	⿰危攵	ホク	p:攵
𢼯	⿰光攴	サツ	u
𢼰	⿰曲攴	キョク	u
𢼱	⿰𠕎攴	ジ	u
𢼲	⿰朱攴	シュ	p:朱
𢼳	⿰匡攵	ホク	p:攵
𢼴	⿰光攵	ホク	p:攵
𢼵	⿰亥攵	サツ	u
𢼶	⿰并攵	ハン ヘン	u
𢼷	⿰异攵	キ ハイ	u
𢼸	⿰𡵂攵	ホク	p:攵
𢼹	⿰甫攴	ホ フ	u
𢼺	⿱折攴	セツ ゼチ	u
𢼻	⿰妥攴	タ	u
𢼼	⿰肖攴	ソウ ショウ	u
𢼽	⿰谷攴	コウ ギョウ カク キャク	u
𢼾	⿰⿱⺊𠕁攴	カイ ケ	u
𢼿	⿰⿱𫜹⺝攴	カン	u
𢽀	⿰𤆍攴	シャ	u
𢽁	⿰⿱卝干攴	ヨウ	u
𢽂	⿰攴良	ロウ	u
𢽃	⿰⿱山王攴	チ	u
𢽄	⿰廷攴	テイ ジョウ	u
𢽅	⿰⿱出力攴	サツ	u
𢽆	⿰𠘽攵	サツ	u
𢽇	⿰⿷匚⿻丷大攵	トウ ドウ	u
𢽈	⿰秃攵	ホク	p:攵
𢽉	⿰完攵	コウ	u
𢽊	⿰甫攵	ホク	p:攵
𢽋	⿰⿱⺊𠕁攵	ホク	p:攵
𢽌	⿰⿱凶子攵	ホク	p:攵
𢽍	⿰告攵	ホク	p:攵
𢽎	⿰旱攵	ホク	p:攵
𢽏	⿰君攵	ホク	p:攵
𢽐	⿰肖攵	ホク	p:攵
𢽑	⿰⿳丷冖子攵	ホク	p:攵
𢽒	⿰⿱亠由攵	ホク	p:攵
𢽓	⿰⿱士木攵	ホク	p:攵
𢽔	⿰芎攵	ホク	p:攵
𢽕	⿺見攴	ヨウ	u
𢽖	⿰𠬶攴		
𢽗	⿰⿱山止攵	シ	u
𢽘	⿰⿱出几攵	サツ	u
𢽙	⿺尾攵	ホク	p:攵
𢽚	⿰豖攴	タク チョク トク	u
𢽛	⿰𤰞攵	ヘイ	u
𢽜	⿰尿攴	サツ ザチ	u
𢽝	⿰隹攴	サン ザン	u
𢽞	⿰幸攴	タツ	u
𢽟	⿰來攵	チョク	u
𢽠	⿰𱖔攵	チョウ	u
𢽡	⿰岩攵	チョウ	u
𢽢	⿰冐攴	ボウ	p:冐
𢽣	⿰臽攴	カン	u
𢽤	⿰⿱𫜹古攵	カン	u
𢽥	⿰⿱乑丂攴	ソウ	u
𢽦	⿰空攴	コウ ク	u
𢽧	⿰周攴	シュウ シュ	u
𢽨	⿰忽攴	コツ コチ	u
𢽩	⿰朋攴	ホウ ヒョウ	u
𢽪	⿰帚攴	シン	u
𢽫	⿰𣏋攴	カイ ケ	u
𢽬	⿰東攵	チン	u
𢽭	⿰𠧢攴	キュウ ク	u
𢽮	⿰⿳亠夂小攵	サツ	u
𢽯	⿰⿳亠夕⿲丶丶丶攵	サツ	u
𢽰	⿰帚攵	フ	u
𢽱	⿰奄攵	ホク	p:攵
𢽲	⿰戾攵	ホク	p:攵
𢽳	⿰𣏟攵	ホク	p:攵
𢽴	⿰豖攵	ホク	p:攵
𢽵	⿰⿱冃月攵	ホク	p:攵
𢽶	⿰臽攵	ホク	p:攵
𢽷	⿰尿攵	ホク	p:攵
𢽸	⿰𡶤攵	シャク	u
𢽹	⿰昏攵	ビン	u
𢽺	⿰⿱亠糹攵	サツ	u
𢽻	⿰炎攵	ホク	p:攵
𢽼	⿺巴𢼂	ハ	p:巴
𢽽	⿰奇攵	ホク	p:攵
𢽾	⿰学攴	カク ガク ギョウ まなび	u
𢽿	⿰⿱爫古攴	カン	u
𢾀	⿰者攴	ト ツ	u
𢾁	⿰韋攴	イ キ	u
𢾂	⿰𣐉攴	チ	u
𢾃	⿰𠧪攴	サン ザン	u
𢾄	⿰俞攵	ユ	u
𢾅	⿰度攵	ト ズ	u
𢾆	⿰皆攴	カイ	u
𢾇	⿰畐攴	ヒョク	u
𢾈	⿰⿱出勿攴	サツ	u
𢾉	⿰亲攵	ホク	p:攵
𢾊	⿰亭攴	トウ ジョウ	u
𢾋	⿰炭攴	タン	p:炭
𢾌	⿰𬛸攴	キ	u
