違	⿺辶韋	8	344	イ	ちが.う ちが.い ちが.える -ちが.える		さる たがう	u	13	
遺	⿺辶貴	6	647	イ ユイ	のこ.す		スイ ズイ おくる すてる	u	15	
医	⿷匚矢	3	437	イ	い.やす い.する くすし		エイ	u	7	
井	⿻二⿰丿丨	4	339	セイ ショウ	い	いの さい ひ	いど	u	4	
亥	⿳亠𠂈人	9	0	ガイ カイ	い	り			6	⿱丶𠀔
域	⿰土或	6	396	イキ			ヨク イク さかい	u	11	
育	⿱𠫓月	3	369	イク	そだ.つ そだ.ち そだ.てる はぐく.む	やす	チュウ ジュ	u	8	⿳亠厶⺝
郁	⿰有阝	9	1920	イク		あや かおる い か ふみ ゆう			9	
磯	⿰石幾	9	1444	キ	いそ	し そ	ゲ カイ ケ	u	17	
一		1	2	イチ イツ	ひと- ひと.つ	かず い いっ いる かつ かづ			1	
壱	⿳士冖匕	8	2351	イチ イツ	ひとつ	い かず	イン	u	7	
溢	⿰氵益	9	2405	イツ	こぼ.れる あふ.れる み.ちる		シツ イチ シチ ジチ	u	13	⿰氵⿳⿱八一八皿
逸	⿺辶免	8	1524	イツ	そ.れる そ.らす はぐ.れる	いっ はや へん	イチ うしなう はしる はやる	u	11	⿺辶兔
稲	⿰禾⿱爫旧	8	1038	トウ テ	いね いな-	いの しね せ な	ドウ	u	14	⿰禾𱬹
茨	⿱艹次	4	1203	シ ジ	いばら かや くさぶき	あし えばら ばら まつ まん			9	
芋	⿱艹于	8	2418	ウ	いも		ク コ	u	6	
鰯	⿰魚弱	9	0		いわし				21	
允	⿱厶儿	9	2358	イン	じょう まこと.に ゆるす	まこと のぶ まさ みつ すけ よし	エン	u	4	
印	⿰③卩	4	682	イン	しるし -じるし しる.す				6	
咽	⿰口因	8	0	イン エン エツ	むせ.ぶ むせ.る のど の.む		エチ オン	u	9	
員	⿱口貝	3	54	イン		いな かず	エン ウン	u	10	
因	⿴囗大	5	636	イン	よ.る ちな.む	て	ちなみ よって	u	6	
姻	⿰女因	8	1985	イン					9	
引	⿰弓丨	2	218	イン	ひ.く ひ.ける	いな ひき ひけ びき			4	
飲	⿰飠欠	3	969	イン オン	の.む -の.み				12	
淫	⿰氵㸒	8	0	イン	ひた.す ほしいまま みだ.ら みだ.れる		エン ヨウ	u	11	
胤	⿲丿⿱幺月乚	9	0	イン	たね	つぎ つぐ かず	シン	u	9	⿰丿𦙌
蔭	⿱艹陰	9	2166	イン オン	かげ				14	
院	⿰阝完	3	150	イン			エン カン ガン オン	u	10	
陰	⿰阝侌	8	1393	イン	かげ かげ.る		アン オン おおう きた	u	11	
隠	⿰阝𢚩	8	1089	イン オン	かく.す かく.し かく.れる よ.る	お がくし			14	⿰⻖⿳爫彐心
韻	⿰音員	8	2148	イン			ウン オン ひびき	u	19	
吋	⿰口寸	0	0	トウ ドウ スン	インチ		ズ	u	6	
右	⿸𠂇口	1	602	ウ ユウ	みぎ	あき すけ	たすける	u	5	
宇	⿱宀于	6	883	ウ		いえ たか ひろ ひろし	のき	u	6	
烏	⿹⑥灬	9	2042	ウ オ	からす いずくんぞ なんぞ		ア アン エン	u	10	
羽	⿰习习	2	748	ウ	は わ はね	しゅう ば	コ	u	6	
迂	⿺辶于	9	0	ウ					6	
雨	⿱一𠕒	1	950	ウ	あめ あま- -さめ				8	⿻丅⿵冂⿰⿱丶丶⿱丶丶
卯	⿰𠂎卩	9	2400	ボウ モウ	う	あきら しげる い	ミョウ	u	5	
鵜	⿰弟鳥	9	2118	テイ ダイ	う				18	
窺	⿱穴規	9	0	キ	うかが.う のぞく		うかがい	u	16	⿱⿱宀儿規
丑	？	9	2305	チュウ	うし	ひろ	チュ	u	4	
碓	⿰石隹	9	2364	カク タイ	たし.か かく.たる	う うす	ツイ テ	u	13	
臼	⿴？⿰一一	8	2048	キュウ グ	うす うすづ.く		ホウ ブ	u	6	
渦	⿰氵咼	8	1789	カ	うず		ケ ワ	u	12	
嘘	⿰口虚	0	2235	キョ コ	うそ ふ.く				14	
唄	⿰口貝	8	2051	バイ	うた うた.う		ベ ハイ	u	10	
欝	⿳棥罒𡬠	0	0	ウツ ウン	うっ.する ふさ.ぐ しげ.る		むすぼれる	u	26	⿳棥⺫𡬠
蔚	⿱艹尉	0	0	ウツ イ	うち おとこよもぎ				14	
鰻	⿰魚曼	0	0	マン バン	うなぎ				22	
姥	⿰女老	9	0	ボ モ	うば				9	
厩	⿸厂既	9	0	キュウ	うまや	まや まら			12	
浦	⿰氵甫	8	977	ホ	うら		フ	u	10	
瓜		9	2459	カ ケ	うり	う			6	
閏	⿵門王	9	0	ジュン	うるう		ニン	u	12	
噂	⿰口尊	9	2298	ソン	うわさ				15	
云	⿱二厶	9	0	ウン	い.う ここに				4	
運	⿺辶軍	3	255	ウン	はこ.ぶ		めぐる	u	12	
雲	⿱雨云	2	1256	ウン	くも -ぐも	き ずも のめ			12	
荏	⿱艹任	0	2096	ジン ニン		え			9	
餌	⿰飠耳	8	2277	ジ ニ	え えば えさ もち				14	
叡	⿰睿又	9	0	エイ	あき.らか		さとい	u	16	
営	⿳𭕄冖呂	5	303	エイ	いとな.む いとな.み				12	⿱𰃮呂 ⿱𰃮吕
嬰	⿱賏女	0	0	エイ	ふ.れる みどりご あかご		ヨウ	u	17	
影	⿰景彡	8	464	エイ	かげ		ヨウ	u	15	
映	⿰日央	6	404	エイ	うつ.る うつ.す は.える -ば.え	あきら え てる	ヨウ オウ	u	9	
曳	⿻日⿻㇂㇒	9	0	エイ	ひ.く	ひき びき			6	
栄	⿳𭕄冖木	4	920	エイ ヨウ	さか.える は.え -ば.え は.える	さかえ しげ てる なが ひで よし			9	⿱𰃮木
永	⿱丶水	5	846	エイ	なが.い	え と のり ひさ ひさし	ヨウ	u	5	
泳	⿰氵永	3	1223	エイ	およ.ぐ		ヨウ	u	8	
洩	⿰氵曳	0	0	エイ セツ	も.らす の.びる も.れる		セチ	u	9	
瑛	⿰王英	9	2393	エイ		よう あき あきら てる え			12	
盈	⿱夃皿	0	0	エイ	み.たす み.ちる	みつ	ヨウ	u	9	
穎	⿰⿱匕禾頁	0	0	エイ	ほさき のぎ		ヨウ	u	16	
頴	⿰𥘈頁	0	0	エイ	ほさき のぎ	え かい	ほ	u	16	⿹頃示
英	⿱艹央	4	430	エイ	はなぶさ	あ あい え すぐる はな ひ	オウ ヨウ ひいでる	u	8	
衛	⿲彳韋亍	5	400	エイ エ		もり い まもる	エツ まもり	u	16	⿴行韋
詠	⿰言永	8	2000	エイ	よ.む うた.う	うた え ええ	ヨウ ながむ ながめ	u	12	
鋭	⿰金兑	8	1395	エイ	するど.い	とし	タイ エツ	u	15	
液	⿰氵夜	5	1210	エキ			シャク ヤク セキ	u	11	
疫	⿸疒殳	8	1661	エキ ヤク			イ ユイ えやみ	u	9	
益	⿱⿱䒑八皿	5	674	エキ ヤク	ま.す	まし ます	ますます	u	10	
駅	⿰馬尺	3	724	エキ			ヤク うまや	u	14	
悦	⿰忄兑	8	1762	エツ	よろこ.ぶ よろこ.ばす	や よし			10	
謁	⿰言⿱日匂	8	0	エツ			つげる まみえる	u	15	⿰言曷
越	⿺走戉	8	897	エツ オツ	こ.す -こ.す -ご.し こ.える	えち えっ お こえ こし ごえ	オチ カツ ガチ ここに	u	12	
閲	⿵門兑	8	1855	エツ	けみ.する		へる	u	15	
榎	⿰木夏	9	1945	カ	えのき	え えの			14	
厭	⿸厂猒	0	0	エン オン アン オウ	いや あ.きる いと.う おさ.える		ヨウ ユウ	u	14	
円	⿵冂丄	1	69	エン	まる.い まる まど まど.か	つぶら のぶ まどか みつ			4	
園	⿴囗袁	2	628	エン	その	おん ぞの			13	
堰	⿰土匽	9	1913	エン	せき せ.く		オン	u	12	
奄	⿱大电	9	2047	エン	おお.う たちまち	あま			8	
宴	⿱宀妟	8	1675	エン	うたげ	うた やす	たのしむ	u	10	
延	⿺廴⿱丿止	6	747	エン	の.びる の.べる の.べ の.ばす	たか のぶ のべ	ひく	u	8	⿺廴𠂛
怨	⿱夗心	8	2137	エン オン ウン	うら.む うらみ うら.めしい				9	
掩	⿰扌奄	0	0	エン	おお.う		アン オン ヨウ	u	11	
援	⿰扌爰	8	312	エン			オン カン ガン たすけ	u	12	
沿	⿰氵㕣	6	1121	エン	そ.う -ぞ.い				8	⿰氵⿱几口
演	⿰氵寅	5	267	エン			イン のべる	u	14	
炎	⿱火火	8	1242	エン	ほのお	ぬく	タン ダン オン もえる	u	8	
焔	⿰火⿱𠂊旧	0	0	エン	ほのお		セン ゼン	u	11	⿰火⿱⺈旧
煙	⿰火垔	8	1290	エン	けむ.る けむり けむ.い	たば	イン けむたい	u	13	⿰火⿱覀土
燕	⿳廿⿴北口灬	9	2147	エン	つばめ つばくら つばくろ				16	
猿	⿰犭袁	8	1772	エン	さる	さ さわ ざる まし	オン	u	13	
縁	⿰糸⿱彐𧰨	8	1291	エン -ネン	ふち ふち.どる ゆかり よすが		タン えにし へり よる	u	15	
艶	⿰豊色	8	2207	エン	つや なま.めかしい あで.やか つや.めく	もろ よし			19	
苑	⿱艹夗	9	2060	エン オン	その う.つ	あや	ウン	u	8	
